"OlinkID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Assay","UniProt","MissingFreq","LOD","Panel","Panel_Version"
"OID21481",1.75213094577553,4.75477702349869,14.7162524072614,3.39501478285066e-39,4.85147612469359e-36,78.3156509564557,"C4BPB","P20851",0.03,0.5761,"ONCOLOGY",1
"OID20697",2.41575119798233,6.91940130548303,14.49898163358,2.63754123190231e-38,1.8845232101942e-35,76.2865022301447,"CXCL10","P02778",0.03,0.7484,"INFLAMMATION",1
"OID20178",2.0532639050021,4.4876044386423,14.1295917798133,8.43611832042376e-37,4.01840435996185e-34,72.8569438168818,"NADK","O95544",0.04,0.3225,"CARDIOMETABOLIC",1
"OID21226",2.24095952921395,3.91665561357702,13.9925364585281,3.03059618457669e-36,1.08268048694002e-33,71.5913887813099,"DDX58","O95786",0.05,1.1711,"ONCOLOGY",1
"OID21044",1.06593585960487,4.61704334203655,13.6587419013727,6.71239927340273e-35,1.59866976028208e-32,68.5259857930853,"CASC4","Q6P4E1",0.03,0.7324,"NEUROLOGY",1
"OID20795",1.93873746532156,2.12340704960836,13.3733993528439,9.29504390670901e-34,1.89751682038388e-31,65.925652922991,"IFNL1","Q8IU54",0.81,2.8774,"NEUROLOGY",1
"OID20754",-1.07920404371585,4.10794830287206,-12.2402370517252,2.57357448580366e-29,4.59704742526679e-27,55.8086219700424,"CDON","Q4KMG0",0.03,0.7308,"INFLAMMATION",1
"OID20234",1.50991485498108,5.13277415143603,12.1094316626115,8.1838858003781e-29,1.29941920097115e-26,54.664840149182,"TYMP","P19971",0.06,3.1138,"CARDIOMETABOLIC",1
"OID20436",1.74127140395124,3.83139190600522,11.9028628849271,5.03007309083543e-28,7.18797444680383e-26,52.8697625471032,"LAP3","P28838",0.16,1.9415,"INFLAMMATION",1
"OID20523",2.12826751155947,4.35613315926893,11.8755638682452,6.38766130250296e-28,8.2981527284334e-26,52.6335844165364,"CCL7","P80098",0.05,1.4326,"INFLAMMATION",1
"OID21466",1.39966582597729,8.26877023498695,11.2158133669807,1.9021819565865e-25,2.09093693535547e-23,47.0046035475862,"CCL8","P80075",0.03,1.2724,"ONCOLOGY",1
"OID21042",1.53611049180327,4.90927336814621,11.1122315154337,4.58624600391114e-25,4.68124681399215e-23,46.1352842183939,"CXCL11","O14625",0.04,0.8111,"NEUROLOGY",1
"OID20279",-1.06505591004624,1.73982663185379,-11.039812129102,8.46499713477518e-25,8.06432060372916e-23,45.5299441386319,"CRTAC1","Q9NQ79",0.03,-0.7264,"CARDIOMETABOLIC",1
"OID20604",1.28023181168558,6.34757754569191,10.5805838008947,3.93203768022699e-23,3.12160102502465e-21,41.7399407697902,"GZMB","P10144",0.04,1.7552,"INFLAMMATION",1
"OID20405",-1.01329957965531,5.13665404699739,-10.5678283506555,4.3690771972211e-23,3.28600595517313e-21,41.6359060949889,"COMP","P49747",0.03,0.7117,"CARDIOMETABOLIC",1
"OID20536",1.12919676334594,2.50028877284595,10.0950577581711,2.06835499699512e-21,1.28507795248088e-19,37.8295741258154,"SAMD9L","Q8IVG5",0.09,0.9049,"INFLAMMATION",1
"OID21029",1.67215067675493,4.43708772845953,10.0445160395537,3.105959913178e-21,1.81556014073475e-19,37.4285417208987,"BST2","Q10589",0.03,0.3009,"NEUROLOGY",1
"OID21187",1.33390882723833,2.01743577023499,9.88071121571816,1.15077881253722e-20,6.09060341894702e-19,36.1369002505034,"RRM2","P31350",0.09,0.4993,"ONCOLOGY",1
"OID20664",-1.02383754518705,5.1858365535248,-9.41140876764208,4.57338880718287e-19,2.0423039392076e-17,32.5072900027644,"CLSTN2","Q9H4D0",0.03,0.6048,"INFLAMMATION",1
"OID20638",1.05963895334174,6.12384934725849,9.19210676365484,2.46304261208392e-18,1.00562511219084e-16,30.8488143064206,"LAMP3","Q9UQV4",0.03,0.8599,"INFLAMMATION",1
"OID20985",-1.10418434216057,3.40285665796345,-8.74751390772619,6.93045896365537e-17,2.30316880443338e-15,27.5641786390028,"TNFRSF9","Q07011",0.03,1.4449,"NEUROLOGY",1
"OID20334",-1.22173729298024,5.08809399477807,-8.54802136235189,2.99275385685425e-16,9.29705491618418e-15,26.1254834179796,"CCL16","O15467",0.03,0.1608,"CARDIOMETABOLIC",1
"OID20772",-1.41032061790668,5.01057180156658,-8.2586488014926,2.40115267048206e-15,6.86249433223772e-14,24.0789239748905,"CCL24","O00175",0.03,0.1168,"INFLAMMATION",1
"OID20495",2.11557223346828,2.96134162303665,8.05371909914107,1.02515328761401e-14,2.52576560000072e-13,22.6539443827811,"IFNG","P01579",0.24,0.9761,"INFLAMMATION",1
